Category,Phrase
Medium,i will see if possible this week
Medium,i will check today
Medium,mild swelling
Medium,moderate pain
Medium,possibly today
Medium,possibly this week
Medium,i might come next week
Medium,i will check next week
Medium,let me think
Medium,small discomfort
Medium,i guess next week
Medium,i will try later next month
Medium,i guess soon
Medium,i will confirm later
Medium,not sure
Medium,not sure
Medium,let me see next month
Medium,i think tomorrow
Medium,moderate pain
Medium,i guess
Medium,i will see if possible
Medium,let me see
Medium,maybe soon
Medium,i might come
Medium,i might come soon
Medium,i will see if possible
Medium,i will update later soon
Medium,small discomfort
Medium,not sure
Medium,i guess
Medium,i will check today
Medium,i will check
Low,i dont want treatment this week
Low,i will avoid treatment
Low,cannot come next week
Low,afraid of treatment next week
Low,i dont want treatment
Low,i am busy
Low,too busy
Low,i will skip appointment
Low,afraid of treatment
Low,medicine not working
Low,i will come later
Low,i will cancel tomorrow
Low,cannot come tomorrow
Low,not possible
Low,i will come later tomorrow
Low,i will cancel
Low,i will not come today
Low,i cannot visit
Low,i will postpone today
Low,i will cancel
Low,dental anxiety today
Low,not now
Low,i dont want root canal tomorrow
Low,i will avoid treatment this week
Low,i dont want root canal tomorrow
Low,treatment too painful this evening
Low,i will not come
Low,scared of dentist next month
Low,no time this evening
Low,afraid of treatment
Low,i dont want root canal this evening
Low,not now soon
Low,no doctor
Low,treatment too painful
Low,maybe some other time this evening
Low,i will not come tomorrow
Low,i will cancel tomorrow
Low,not now
Low,maybe some other time
Low,medicine not working
Low,no time
Low,i will postpone next month
Low,i am busy today
Low,i dont want extraction
Low,dental fear next month
Low,not now
Low,afraid of treatment today
Low,i dont want treatment
Low,i dont want extraction
Low,not possible
Low,i am busy
Low,i will not come
Low,cannot come
Low,i cannot visit tomorrow
Low,cannot come
Low,i dont want extraction this week
Low,i am busy
Low,dental fear tomorrow
Low,no time
Low,i dont want treatment
Low,i will not come next week
Low,treatment too painful
Low,i will postpone next month
Low,no time
Low,i am busy
Low,dental anxiety
Low,i cannot visit
Low,i will avoid treatment
Low,i stopped medicine
Low,i stopped medicine today
Low,no time
Low,medicine not working
Low,i will skip appointment this week
Low,i am busy tomorrow
Low,no doctor
Low,i am busy
Low,maybe some other time
Low,i will avoid treatment tomorrow
Low,scared of dentist today
Low,no time tomorrow
Low,i will avoid treatment soon
Low,dental fear
Low,i stopped medicine
Low,dental fear today
Low,i will come later next month
Low,i am busy this week
Low,i will skip appointment
Low,i will skip appointment tomorrow
Low,i will cancel
Low,i dont want treatment this week
Low,medicine not working next week
Low,i will avoid treatment this week
Low,dental anxiety
Low,i will not come
Low,not now
Low,treatment too painful
Low,medicine not working next week
Low,i dont want root canal
Low,i dont want root canal soon
Low,treatment too painful this evening
Low,afraid of treatment
Low,not interested soon
Low,not possible
Low,i will not come next month
Low,i will not come
Low,i cannot visit
Low,medicine not working next month
Low,i dont want extraction
Low,i will avoid treatment
Low,i stopped medicine tomorrow
Low,not interested
Low,dental fear tomorrow
Low,not possible tomorrow
Low,i will postpone
Low,i will postpone tomorrow
Low,dental anxiety
Low,maybe some other time tomorrow
Low,medicine not working soon
Low,i dont want treatment
Low,not now
Low,i will postpone
Low,cannot come
Low,i will postpone
Low,i dont want extraction
Low,maybe some other time this evening
Low,i will cancel tomorrow
Low,i will avoid treatment
Low,i stopped medicine
Low,i dont want treatment next month
Low,not possible
Low,i will skip appointment tomorrow
Low,i will cancel next month
Low,i dont want root canal this week
Low,not interested
Low,dental anxiety next month
Low,i stopped medicine this week
Low,i will avoid treatment
Low,no time tomorrow
Low,i dont want treatment this evening
Low,too busy
Low,not possible
Low,treatment too painful next week
Low,not interested tomorrow
Low,i will not come
Low,not now
Low,afraid of treatment next month
Low,i am busy
Low,i will postpone
Low,i will not come this week
Low,scared of dentist soon
Low,i will skip appointment next month
Low,too busy
Low,i stopped medicine tomorrow
Low,not now next month
Low,i will cancel next month
Low,i will come later
Low,not possible today
Low,not interested tomorrow
Low,i will not come
Low,no doctor today
Low,not possible this evening
Low,i dont want treatment
Low,i will postpone
Low,dental fear
Low,not now
Low,afraid of treatment next week
Low,i dont want root canal
Low,not now
Low,i will avoid treatment
Low,not possible this evening
Low,maybe some other time
Low,not possible soon
Low,dental anxiety
Low,scared of dentist next week
Low,medicine not working
Low,i will avoid treatment soon
Low,no doctor this week
Low,i am busy tomorrow
Low,i will come later
Low,no time next week
Low,dental fear this week
Low,i dont want root canal tomorrow
Low,maybe some other time
Low,i will skip appointment next week
Low,scared of dentist
Low,i will postpone
Low,i will avoid treatment
Low,i will cancel soon
Low,medicine not working
Low,no doctor next week
Low,no time this evening
Low,i will cancel next week
Low,too busy
Low,i will come later
Low,i cannot visit tomorrow
Low,i dont want root canal this evening
Low,i will skip appointment
Low,no time today
Low,not now this week
Low,i will cancel
Low,scared of dentist this week
Low,dental fear tomorrow
Low,i stopped medicine next month
Low,afraid of treatment
Low,no time
Low,i dont want extraction
Low,i cannot visit this week
Low,not interested this evening
Low,dental anxiety
Low,i will come later this evening
Low,i will avoid treatment
Low,too busy next month
Low,dental fear this week
Low,dental fear this evening
Low,cannot come next week
Low,i am busy
Low,i dont want root canal next week
Low,dental fear
Low,i will postpone this evening
Low,no time
Low,afraid of treatment next month
Low,i will come later this week
Low,dental fear
Low,i dont want treatment this week
Low,i cannot visit
Low,maybe some other time soon
Low,scared of dentist
Low,treatment too painful next month
Low,i will avoid treatment
Low,not now
Low,treatment too painful this week
Low,not possible
Low,afraid of treatment this week
Low,cannot come
Low,scared of dentist
Low,not possible
Low,i dont want root canal
Low,i will avoid treatment
Low,dental anxiety
Low,i will postpone today
Low,not possible today
Low,dental fear
Low,afraid of treatment tomorrow
Low,i dont want treatment
Low,i will skip appointment
Low,cannot come soon
Low,i dont want root canal next month
Low,i will skip appointment this evening
Low,scared of dentist next month
Low,scared of dentist next month
Low,i dont want extraction
Low,afraid of treatment
Low,scared of dentist
Low,dental fear next week
Low,dental anxiety next month
Low,i dont want extraction
Low,medicine not working next month
Low,i dont want extraction today
Low,i will come later tomorrow
Low,medicine not working today
Low,i am busy
Low,not interested
Low,i will skip appointment this evening
Low,i dont want extraction this week
Low,maybe some other time
Low,i dont want treatment soon
Low,treatment too painful next week
Low,too busy
Low,i will postpone
Low,scared of dentist
Low,not interested today
Low,i dont want root canal
Low,dental fear
Low,i will postpone next week
Low,dental fear next month
Low,dental anxiety
Low,no time
Low,not possible next month
Low,i stopped medicine soon
Low,i will cancel
Low,maybe some other time
Low,medicine not working soon
Low,i will cancel soon
Low,i will not come next week
Low,not interested today
Low,no time
Low,i dont want treatment
Low,maybe some other time
Low,i will not come today
Low,treatment too painful
Low,i will skip appointment this week
Low,not possible this week
Low,i will not come
Low,afraid of treatment this week
Low,dental fear this evening
Low,i dont want extraction soon
Low,dental fear today
Low,not possible today
Low,not interested
Low,maybe some other time next month
Low,i cannot visit tomorrow
Low,no doctor this evening
Low,not possible next week
Low,dental anxiety
Low,i stopped medicine
Low,not now
Low,too busy soon
Low,i will not come tomorrow
Low,i dont want treatment today
Low,no time next week
Low,dental anxiety
Low,no time
Low,i will cancel today
Low,afraid of treatment
Low,no time this week
Low,i will not come this week
Low,i will come later next week
Low,i dont want extraction this week
Low,no doctor
Low,i will come later
Low,i will come later
Low,not now soon
Low,no time soon
Low,i will avoid treatment next month
Low,treatment too painful this week
Low,dental anxiety
Low,cannot come
Low,no time soon
Low,scared of dentist
Low,afraid of treatment next week
Low,i will avoid treatment
Low,i dont want root canal this evening
Low,maybe some other time
Low,no doctor this evening
Low,cannot come soon
Low,i will skip appointment
Low,i dont want root canal
Low,i dont want treatment
Low,i will avoid treatment
Low,i cannot visit
Low,i stopped medicine
Low,i dont want treatment
Low,maybe some other time
Low,i dont want extraction
Low,not possible
Low,not now
Low,i stopped medicine
Low,not possible
Low,i will avoid treatment soon
Low,i am busy
Low,medicine not working tomorrow
Low,cannot come
Low,not interested this week
Low,not interested
Low,not now next week
Low,i will cancel
Low,too busy
Low,dental anxiety this week
Low,not interested
Low,maybe some other time this week
Low,i will postpone
Low,i will come later tomorrow
Low,i dont want treatment
Low,i will cancel
Low,not now tomorrow
Low,not interested
Low,i will come later
Low,i will come later
Low,medicine not working
Low,i will come later
Low,i cannot visit tomorrow
Low,i am busy tomorrow
Low,maybe some other time this week
Low,i stopped medicine
Low,i will not come today
Low,medicine not working
Low,no doctor next month
Low,i cannot visit
Low,i dont want root canal
Low,afraid of treatment
Low,no doctor
Low,not possible
Low,cannot come
Low,i am busy next month
Low,treatment too painful
Low,not now
Low,i will skip appointment
Low,i cannot visit today
Low,dental fear next week
Low,i will skip appointment tomorrow
Low,i will skip appointment
Low,no time
Low,i will come later this week
Low,medicine not working next month
Low,i will not come today
Low,not possible
Low,scared of dentist today
Low,i cannot visit this evening
Low,not possible
Low,i will not come tomorrow
Low,not now
Low,i stopped medicine next week
Low,i cannot visit soon
Low,no time
Low,too busy tomorrow
Low,i will cancel
Low,i will not come
Low,i dont want treatment next month
Low,treatment too painful
Low,dental fear
Low,afraid of treatment today
Low,i dont want extraction soon
Low,dental anxiety today
Low,i will cancel this evening
Low,too busy today
Low,i will not come
Low,dental anxiety this week
Low,i will avoid treatment next week
Low,not now next month
Low,i will come later this week
Low,i will cancel next week
Low,i dont want extraction
Low,i will come later next month
Low,i will not come this week
Low,afraid of treatment today
Low,no doctor this evening
Low,i will avoid treatment
Low,i will cancel
Low,afraid of treatment
Low,not possible
Low,i will come later soon
Low,not interested this evening
Low,no doctor next week
Low,dental fear
Low,i will skip appointment
Low,scared of dentist
Low,i will not come tomorrow
Low,i cannot visit
Low,i dont want treatment tomorrow
Low,not interested tomorrow
Low,i will avoid treatment soon
Low,i will skip appointment
Low,i will not come
Low,i will not come
Low,i will not come next month
Low,i will skip appointment soon
Low,i will skip appointment this evening
Low,i cannot visit
Low,treatment too painful
Low,not possible
Low,medicine not working next week
Low,no doctor
Low,i dont want extraction soon
Low,not possible
Low,i dont want root canal
Low,i will avoid treatment soon
Low,no doctor
Low,maybe some other time
Low,dental anxiety
Low,no time next month
Low,no time this evening
Low,treatment too painful
Low,no doctor
Low,i stopped medicine next week
Low,not interested this evening
Low,maybe some other time
Low,i dont want treatment this week
Low,i dont want root canal this evening
Low,afraid of treatment today
Low,not possible
Low,i dont want treatment
Low,i will cancel this week
Low,i dont want treatment tomorrow
Low,not interested tomorrow
Low,i will avoid treatment
Low,i cannot visit next week
Low,i cannot visit
Low,not possible today
Low,i stopped medicine
Low,scared of dentist soon
Low,too busy
Low,dental fear soon
Low,cannot come
Low,not interested tomorrow
Low,dental anxiety
Low,i dont want treatment this week
Low,dental anxiety
Low,i stopped medicine
Low,medicine not working
Low,not now
Low,maybe some other time
Low,i stopped medicine
Low,i dont want root canal
Low,i am busy
Low,i dont want root canal
Low,treatment too painful
Low,i dont want treatment today
Low,i will cancel this evening
Low,i dont want treatment this week
Low,not interested soon
Low,too busy soon
Low,i will skip appointment this week
Low,too busy next month
Low,medicine not working today
Low,no doctor
Low,no doctor next month
Low,afraid of treatment next month
Low,i will come later today
Low,too busy
Low,medicine not working
Low,scared of dentist
Low,no time
Low,i dont want root canal tomorrow
Low,i stopped medicine next month
Low,cannot come tomorrow
Low,treatment too painful tomorrow
Low,dental anxiety next month
Low,not now next week
Low,no doctor
Low,maybe some other time
Low,too busy
Low,scared of dentist
Low,not interested today
Low,dental fear tomorrow
Low,no time today
Low,afraid of treatment
Low,dental anxiety
Low,i will postpone tomorrow
Low,i am busy
Low,no time
Low,cannot come today
Low,i will cancel next month
Low,no doctor tomorrow
Low,i will postpone
Low,cannot come
Low,i will skip appointment
Low,maybe some other time
Low,i will skip appointment this evening
Low,no doctor today
Low,not now next month
Low,i will postpone today
Low,i will avoid treatment
Low,i will not come
Low,i cannot visit next week
Low,not interested
Low,no time next week
Low,medicine not working tomorrow
Low,dental anxiety
Low,not interested
Low,no time next month
Low,treatment too painful today
Low,i dont want treatment
Low,no doctor this evening
Low,treatment too painful
Low,no doctor this week
Low,i will postpone
Low,i will avoid treatment this evening
Low,i will cancel
Low,i am busy next week
Low,no doctor
Low,i stopped medicine
Low,i am busy next week
Low,no doctor
Low,i will postpone soon
Low,dental anxiety
Low,dental anxiety this week
Low,scared of dentist
Low,i will avoid treatment
Low,maybe some other time next week
Low,dental fear today
Low,i will come later tomorrow
Low,cannot come today
Low,too busy
Low,scared of dentist this week
Low,i will not come
Low,no time
Low,not now
Low,i will avoid treatment
Low,maybe some other time
Low,maybe some other time this week
Low,i am busy
Low,not interested
Low,i cannot visit soon
Low,too busy this week
Low,cannot come next month
Low,i will come later
Low,i dont want treatment next month
Low,i cannot visit tomorrow
Low,i will skip appointment
Low,not now
Low,dental fear
Low,scared of dentist
Low,i dont want extraction
Low,i will come later
Low,maybe some other time
Low,i dont want extraction this evening
Low,i dont want root canal next month
Low,i dont want treatment
Low,cannot come
Low,not possible next week
Low,dental fear
Low,i dont want treatment tomorrow
Low,i stopped medicine this week
Low,not possible soon
Low,treatment too painful this week
Low,i will come later
Low,i will cancel
Low,i will not come today
Low,i will come later soon
Low,i am busy today
Low,i stopped medicine
Low,i dont want root canal
Low,i will avoid treatment
Low,i will skip appointment
Low,not possible
Low,dental fear this week
Low,too busy next week
Low,i will postpone
Low,i dont want extraction today
Low,i stopped medicine today
Low,i will skip appointment tomorrow
Low,afraid of treatment
Low,treatment too painful
Low,not interested
Low,dental anxiety
Low,dental anxiety next week
Low,not interested
Low,i stopped medicine
Low,too busy today
Low,no doctor this week
Low,i cannot visit
Low,maybe some other time soon
Low,i will cancel next week
Low,i will avoid treatment tomorrow
Low,i will not come
Low,i will not come next week
Low,i will cancel
Low,i dont want treatment today
Low,maybe some other time this week
Low,medicine not working next month
Low,i will postpone today
Low,i dont want treatment
Low,not possible
Low,i will avoid treatment soon
Low,no doctor next month
Low,i cannot visit soon
Low,dental fear
Low,scared of dentist
Low,not interested
Low,i will cancel
Low,maybe some other time next month
Low,i cannot visit this week
Low,i will not come
Low,i dont want extraction this week
Low,i dont want extraction
Low,maybe some other time
Low,i stopped medicine
Low,i will come later
Low,scared of dentist
Low,not interested
Low,dental anxiety this week
Low,i will cancel tomorrow
Low,i will not come this evening
Low,i cannot visit this week
Low,not interested
Low,i cannot visit
Low,i will come later
Low,i will skip appointment today
Low,medicine not working
Low,scared of dentist
Low,i am busy
Low,maybe some other time
Low,treatment too painful next month
Low,i stopped medicine tomorrow
Low,i stopped medicine
Low,i am busy
Low,i cannot visit this evening
Low,afraid of treatment
Low,i dont want treatment
Low,afraid of treatment this week
Low,not possible
Low,medicine not working
Low,dental fear this evening
Low,dental fear
Low,no time
Low,scared of dentist
Low,too busy
Low,not interested
Low,no doctor
Low,i cannot visit next week
Low,i will come later next week
Low,too busy
Low,i stopped medicine soon
Low,dental fear next month
Low,maybe some other time
Low,no time
Low,too busy
Low,i am busy
Low,treatment too painful
Low,i dont want extraction this evening
Low,no time this evening
Low,i will skip appointment this week
Low,medicine not working next week
Low,scared of dentist next week
Low,i will postpone
Low,i dont want treatment this week
Low,maybe some other time this evening
Low,scared of dentist
Low,not possible
Low,scared of dentist
Low,i dont want extraction today
Low,scared of dentist this evening
Low,scared of dentist next week
Low,not interested
Low,i will postpone next week
Low,scared of dentist soon
Low,i dont want extraction next week
Low,i dont want root canal this week
Low,maybe some other time next month
Low,no doctor
Low,medicine not working
Low,medicine not working
Low,i will cancel
Low,medicine not working
Low,i am busy soon
Low,too busy next month
Low,i will not come
Low,dental anxiety this evening
Low,i dont want extraction
Low,too busy next month
Low,medicine not working
Low,dental fear soon
Low,i will avoid treatment soon
Low,treatment too painful this week
Low,cannot come this evening
Low,i stopped medicine this week
Low,medicine not working next week
Low,i will postpone this week
Low,i dont want extraction
Low,i dont want treatment today
Low,i will postpone
Low,dental fear tomorrow
Low,i will not come
Low,i will skip appointment
Low,cannot come
Low,i dont want treatment this evening
Low,i will cancel
Low,i will postpone
Low,too busy next month
Low,i am busy
Low,i dont want root canal
Low,i dont want extraction
Low,not interested
Low,i will cancel
Low,treatment too painful
Low,i dont want extraction this week
Low,no doctor
Low,not possible
Low,dental fear
Low,i will not come this evening
Low,too busy
Low,i am busy
Low,not interested this evening
Low,afraid of treatment today
Low,i will come later
Low,i will cancel this week
Low,treatment too painful this week
Low,i cannot visit
Low,medicine not working next month
Low,i will cancel
Low,afraid of treatment today
Low,i will not come next week
Low,not interested
Low,dental fear
Low,i dont want extraction
Low,scared of dentist
Low,scared of dentist
Low,i dont want root canal tomorrow
Low,i will avoid treatment
Low,no time
Low,dental anxiety
Low,cannot come soon
Low,dental anxiety next week
Low,maybe some other time this evening
Low,dental anxiety
Low,no time soon
Low,no doctor
Low,i stopped medicine tomorrow
Low,afraid of treatment
Low,dental anxiety
Low,dental fear
Low,i am busy tomorrow
Low,medicine not working
Low,i will avoid treatment next week
Low,i will come later
Low,scared of dentist this week
Low,i will skip appointment
Low,maybe some other time next week
Low,dental fear
Low,not now
Low,too busy
Low,afraid of treatment
Low,maybe some other time next week
Low,not now
Low,maybe some other time tomorrow
Low,not interested
Low,i dont want treatment
Low,medicine not working
Low,scared of dentist
Low,i will avoid treatment
Low,not now
Low,medicine not working this evening
Low,not now
Low,too busy next week
Low,i will postpone tomorrow
Low,not interested
Low,i will skip appointment
Low,i stopped medicine
Low,i dont want extraction
Low,dental anxiety
Low,dental fear
Low,i cannot visit
Low,i will not come soon
Low,dental anxiety
Low,i dont want extraction
Low,i will cancel
Low,i dont want root canal today
Low,maybe some other time this evening
Low,i will skip appointment
Low,i will postpone today
Low,i will cancel this evening
Low,i will come later today
Low,i will avoid treatment today
Low,treatment too painful today
Low,i cannot visit soon
Low,medicine not working next week
Low,not possible this evening
Low,not possible
Low,not possible
Low,i dont want extraction
Low,i will not come today
Low,i will avoid treatment
Low,i will not come
Low,medicine not working
Low,cannot come next week
Low,dental anxiety
Low,no time
Low,i dont want root canal
Low,i stopped medicine soon
Low,i will postpone tomorrow
Low,cannot come
Low,i dont want treatment this evening
Low,cannot come this evening
Low,no time soon
Low,too busy today
Low,no time
Low,no doctor
Low,cannot come this evening
Low,no time next week
Low,dental anxiety today
Low,not now next month
Low,dental fear
Low,treatment too painful
Low,i stopped medicine
Low,i will postpone
Low,i am busy next week
Low,i will skip appointment next month
Low,cannot come
Low,scared of dentist
Low,no time
Low,i will avoid treatment next month
Low,not now next week
Low,maybe some other time next month
Low,i will avoid treatment
Low,i will not come today
Low,not now soon
Low,medicine not working today
Low,no time soon
Low,i will cancel soon
Low,maybe some other time today
Low,too busy next week
Low,scared of dentist next week
Low,cannot come next week
Low,i will postpone next week
Low,i will skip appointment
Low,i will avoid treatment
Low,i will cancel
Low,i dont want extraction
Low,medicine not working next month
Low,i will cancel
Low,i dont want treatment this week
Low,i will skip appointment
Low,i stopped medicine this evening
Low,i dont want extraction
Low,not possible
Low,i will skip appointment
Low,dental anxiety
Low,no doctor
Low,i will avoid treatment
Low,i will cancel
Low,cannot come
Low,i cannot visit
Low,i will postpone
Low,not interested tomorrow
Low,cannot come soon
Low,medicine not working
Low,i will not come
Low,dental anxiety tomorrow
Low,i will not come
Low,i dont want root canal today
Low,not now this evening
Low,maybe some other time
Low,i cannot visit tomorrow
Low,not possible
Low,no doctor
Low,no doctor next month
Low,cannot come
Low,dental anxiety soon
Low,i stopped medicine
Low,i cannot visit
Low,maybe some other time
Low,dental anxiety
Low,i dont want extraction
Low,dental fear this evening
Low,i will cancel next month
Low,i dont want extraction this week
Low,too busy
Low,scared of dentist
Low,i will postpone
Low,i will avoid treatment today
Low,i will not come soon
Low,maybe some other time today
Low,i stopped medicine
Low,medicine not working
Low,i will not come
Low,not interested
Low,dental fear
Low,i will not come
Low,i dont want extraction next month
Low,i dont want extraction
Low,i will postpone
Low,i am busy
Low,medicine not working next week
Low,i am busy
Low,treatment too painful soon
Low,i will cancel
Low,not possible tomorrow
Low,i cannot visit
Low,treatment too painful this evening
Low,i am busy
Low,maybe some other time this evening
Low,i will avoid treatment
Low,maybe some other time
Low,i dont want root canal
Low,not possible next month
Low,treatment too painful next week
Low,i dont want extraction
Low,i stopped medicine
Low,dental anxiety this week
Low,i dont want treatment
Low,not interested
Low,dental fear this week
Low,i am busy next month
Low,i dont want treatment
Low,not interested
Low,not possible
Low,i will avoid treatment
Low,i will cancel
Low,cannot come
Low,treatment too painful this week
Low,maybe some other time this evening
Low,i will come later
Low,i cannot visit
Low,i stopped medicine tomorrow
Low,maybe some other time this evening
Low,dental anxiety next month
Low,medicine not working
Low,i will not come this evening
Low,no time
Low,too busy
Low,i will postpone next week
Low,i dont want root canal tomorrow
Low,i dont want root canal this evening
Low,i will cancel today
Low,dental fear
Low,dental anxiety
Low,afraid of treatment next week
Low,not interested
Low,treatment too painful
Low,no time today
Low,maybe some other time next week
Low,i will avoid treatment
Low,treatment too painful tomorrow
Low,i will not come tomorrow
Low,i will cancel
Low,afraid of treatment this week
Low,i dont want root canal
Low,i am busy this week
Low,too busy
Low,i dont want root canal